Ax,Ay,Az,Gx,Gy,Gz
-256,-389,15967,256,580,-83
-256,-390,15961,256,578,-82
-256,-393,15708,511,578,-83
-256,-387,15710,511,579,-81
-256,-387,15709,511,580,-80
-256,-392,15713,511,579,-80
-256,-395,15719,511,579,-79
-256,-393,15719,511,579,-77
-256,-395,15718,511,580,-75
-256,-391,15718,511,578,-74
-256,-394,15718,511,577,-74
-256,-397,15713,511,580,-76
-256,-396,15707,511,580,-76
-256,-395,15708,511,578,-75
-256,-393,15712,511,579,-74
-256,-392,15710,511,579,-77
-256,-389,15710,511,579,-76
-256,-389,15710,511,578,-75
-256,-390,15714,511,577,-76
-256,-398,15969,256,577,-77
-256,-394,15975,256,577,-75
-256,-399,15979,256,577,-75
-256,-395,15975,256,577,-75
-256,-391,15973,256,575,-74
-256,-387,15966,256,574,-73
-256,-389,15964,256,575,-74
-256,-395,15967,256,576,-70
-256,-396,15964,256,578,-69
-256,-399,15961,256,580,-70
-256,-403,15964,256,576,-69
-256,-400,15710,511,574,-70
-256,-402,15714,511,575,-66
-256,-397,15713,511,573,-65
-256,-390,15972,256,574,-64
-256,-386,15975,256,576,-66
-256,-386,15716,511,577,-67
-256,-389,15713,511,576,-69
-256,-395,15716,511,575,-71
-256,-399,15717,511,575,-71
-256,-401,15718,511,572,-70
-256,-402,15714,511,572,-71
-256,-396,15712,511,573,-75
-256,-388,15715,511,572,-75
-256,-386,15715,511,571,-75
-256,-390,15714,511,571,-77
-256,-392,15715,511,573,-77
-256,-396,15722,511,575,-76
-256,-393,15724,511,572,-75
-256,-396,15725,511,572,-74
-256,-393,15721,511,569,-74
-256,-391,15721,511,570,-75
-256,-389,15727,511,570,-76
-256,-390,15726,511,570,-74
-256,-386,15723,511,572,-71
-256,-387,15722,511,573,-70
-256,-381,15726,511,573,-69
-256,-379,15723,511,575,-72
-256,-384,15720,511,577,-72
-256,-380,15720,511,577,-69
-256,-383,15712,511,577,-69
-256,-381,15706,511,578,-69
-256,-383,15705,511,577,-69
-256,-381,15705,511,576,-72
-256,-381,15707,511,577,-72
-256,-378,15703,511,576,-73
-256,-383,15700,511,576,-72
-256,-384,15705,511,576,-70
-256,-394,15705,511,577,-71
-256,-395,15702,511,577,-73
-256,-396,15708,511,578,-72
-256,-395,15706,511,577,-71
-256,-391,15709,511,577,-74
-256,-396,15711,511,576,-74
-256,-399,15713,511,576,-71
-256,-396,15713,511,574,-75
-256,-396,15710,511,573,-72
-256,-392,15705,511,574,-70
-256,-395,15702,511,575,-71
-256,-392,15702,511,575,-73
-256,-388,15704,511,574,-74
-256,-387,15709,511,576,-74
-256,-385,15712,511,576,-74
-256,-386,15711,511,573,-74
-256,-395,15710,511,574,-74
-256,-395,15712,511,577,-74
-256,-395,15718,511,577,-74
-256,-398,15716,511,576,-73
-256,-406,15718,511,579,-73
-256,-401,15715,511,577,-75
-256,-401,15969,256,576,-76
-256,-404,15962,256,577,-75
-256,-404,15961,256,578,-77
-256,-405,15961,256,576,-76
-256,-401,15960,256,576,-77
-256,-396,15962,256,578,-74
-256,-394,15968,256,579,-72
-256,-394,15705,511,579,-73
-256,-397,15964,256,581,-73
-256,-403,15715,511,581,-70
-256,-404,15718,511,583,-67
-256,-404,15720,511,583,-66
-256,-402,15976,256,582,-66
-256,-402,15976,256,581,-65
-256,-401,15975,256,581,-69
-256,-401,15973,256,579,-71
-256,-401,15971,256,578,-73
