Ax,Ay,Az,Gx,Gy,Gz
0,-384,15712,511,581,-76
0,-408,15908,256,604,-82
0,-340,15624,511,580,-82
0,-384,15732,511,564,-81
0,-380,15664,511,585,-54
0,-400,15664,511,577,-98
0,-328,15880,256,579,-60
0,-444,15628,511,570,-101
0,-628,16112,256,564,-56
0,-324,15948,256,575,-70
0,-336,15636,511,561,-101
0,-356,15912,256,571,-65
0,-420,15924,256,565,-105
0,-404,15740,511,564,-78
0,-356,15628,511,586,-97
0,-364,15920,256,578,-83
0,-356,15688,511,585,-99
0,-368,15684,511,595,-87
0,-376,15920,256,568,-89
0,-396,15628,511,588,-92
0,-368,15692,511,568,-97
0,-380,15684,511,565,-81
0,-432,15900,256,566,-81
0,-380,15872,256,575,-80
0,-396,15684,511,572,-68
0,-396,15900,256,561,-98
0,-364,15660,511,576,-89
0,-368,15664,511,601,-75
0,-660,15864,511,564,-108
0,-340,15632,511,609,-67
0,-628,15828,511,578,-49
0,-380,15632,511,551,-68
0,-364,15712,511,565,-57
0,-356,15692,511,572,-90
0,-372,15720,511,588,-79
0,-412,15644,511,563,-68
0,-392,15936,256,556,-90
0,-384,15680,511,571,-75
0,-364,15632,511,601,-66
0,-380,15948,256,552,-60
0,-316,15644,511,592,-60
0,-348,15644,511,539,-86
0,-388,15964,256,584,-95
0,-356,15936,256,587,-82
0,-408,15936,256,570,-62
0,-332,15920,256,574,-94
0,-360,15720,511,585,-77
0,-348,15648,511,572,-57
0,-332,15932,256,571,-81
0,-356,15944,256,561,-106
0,-360,15900,511,572,-77
0,-440,15692,511,596,-97
0,-372,15668,511,560,-105
0,-336,15920,256,592,-119
0,-380,15680,256,541,-91
0,-400,15624,511,607,-59
0,-352,15680,511,564,-83
0,-388,15892,256,565,-116
0,-432,15908,256,570,-80
0,-336,15908,256,571,-69
0,-404,15904,256,558,-91
0,-320,15660,511,579,-99
0,-396,15652,511,602,-76
0,-332,15676,511,569,-103
0,-376,15884,256,559,-74
0,-400,15892,256,582,-96
0,-348,15656,511,579,-75
0,-364,15700,511,567,-77
0,-648,16108,256,572,-97
0,-396,15692,511,572,-59
0,-392,15644,511,555,-108
0,-356,15696,511,579,-64
0,-664,15864,511,589,-99
0,-532,15852,511,562,-64
0,-356,15936,256,580,-123
0,-316,15932,256,556,-68
0,-336,15684,511,597,-94
0,-368,15928,256,556,-103
0,-340,15892,256,577,-85
0,-384,15708,256,585,-94
0,-368,15636,511,573,-42
0,-412,15904,256,567,-65
0,-356,15928,256,578,-85
0,-428,15940,256,584,-55
0,-408,15876,256,565,-98
0,-368,15636,511,568,-80
0,-404,15904,256,610,-66
0,-380,15888,256,575,-104
0,-368,15680,511,541,-72
0,-408,15940,256,556,-57
0,-640,16116,256,576,-88
0,-356,15680,511,563,-99
0,-332,15668,511,561,-61
0,-404,15908,256,584,-88
0,-332,15968,256,586,-72
0,-372,15672,511,594,-84
0,-580,15844,511,583,-95
0,-344,15928,256,562,-33
0,-572,15860,511,585,-76
0,-356,15616,511,574,-110
0,-380,15940,256,553,-66
0,-412,15648,511,569,-71
0,-396,15728,511,567,-103
0,-388,15920,256,602,-77
0,-384,15652,511,542,-73
0,-372,15880,256,614,-70
0,-352,15668,511,562,-89
0,-396,15896,256,571,-94
0,-368,15652,511,550,-81
0,-316,15696,511,582,-70
0,-648,15864,511,574,-102
0,-332,15660,511,576,-79
0,-360,15644,511,595,-63
0,-696,16112,511,599,-91
0,-396,15624,511,574,-76
0,-288,15904,256,570,-101
0,-364,15648,511,560,-88
0,-364,15636,511,598,-92
0,-372,15940,256,573,-82
0,-384,15920,256,604,-86
0,-388,15688,511,589,-124
0,-360,15884,256,566,-82
0,-392,15644,511,575,-96
0,-624,16120,256,575,-93
0,-352,15656,511,600,-97
0,-404,15652,511,584,-83
0,-616,16120,256,571,-59
0,-368,15900,256,598,-75
0,-348,15676,511,579,-104
0,-308,15676,511,574,-95
0,-336,15704,511,570,-80
0,-308,15652,511,564,-62
0,-356,15952,256,594,-90
0,-608,15836,511,574,-99
0,-384,15640,511,589,-85
0,-428,15960,256,575,-83
0,-340,15632,511,579,-88
0,-596,16116,256,584,-92
0,-348,15912,256,557,-79
0,-332,15932,256,579,-92
0,-360,15700,511,592,-91
0,-336,15896,256,569,-82
0,-328,15668,511,582,-74
0,-412,15652,511,581,-85
0,-412,15668,511,584,-99
0,-432,15616,511,592,-61
0,-352,15680,511,567,-72
0,-404,15944,256,603,-57
0,-404,15672,511,612,-86
0,-404,15692,511,584,-85
0,-272,15632,511,583,-79
0,-668,16120,256,573,-93
0,-420,15888,256,540,-92
0,-372,15944,256,573,-92
0,-360,15716,511,558,-64
0,-324,15636,511,570,-85
0,-448,15908,256,566,-72
0,-616,15848,511,571,-96
0,-372,15916,256,585,-88
0,-700,15856,511,566,-92
0,-404,15876,256,577,-92
0,-344,15636,511,560,-65
0,-420,15680,511,581,-78
0,-624,15868,256,589,-74
0,-372,15880,256,562,-110
0,-608,16112,256,552,-95
0,-360,15656,511,543,-80
0,-600,15832,256,589,-56
0,-588,15864,511,539,-98
0,-424,15672,511,584,-85
0,-644,15860,511,550,-97
0,-384,15952,256,582,-89
0,-680,15856,511,560,-112
0,-360,15912,256,562,-96
0,-400,15952,256,575,-80
0,-380,15652,511,566,-63
0,-344,15924,256,606,-84
0,-376,15924,256,548,-101
0,-352,15924,256,599,-66
0,-424,15956,256,581,-92
0,-352,15728,511,567,-92
0,-428,15640,511,586,-97
0,-404,15704,511,598,-66
0,-384,15644,511,573,-101
0,-364,15624,511,568,-78
0,-392,15648,511,563,-84
0,-340,15708,511,566,-99
0,-632,16116,256,585,-90
0,-388,15912,256,573,-68
0,-360,15652,511,565,-92
0,-408,15964,256,580,-78
0,-436,15912,256,568,-109
0,-424,15928,256,587,-54
0,-408,15640,511,573,-75
0,-580,16116,256,572,-90
0,-336,15876,256,575,-72
0,-392,15924,256,575,-102
0,-388,15652,511,587,-56
0,-380,15624,511,563,-103
0,-380,15680,511,586,-107
0,-412,15624,511,578,-34
0,-364,15648,511,570,-90
0,-400,15668,511,574,-71
0,-408,15620,511,563,-78
0,-340,15648,511,580,-81
0,-332,15884,256,579,-96
0,-608,15852,256,552,-110
0,-392,15748,511,582,-97
0,-308,15900,256,582,-115
0,-420,15648,511,577,-81
0,-380,15668,511,579,-93
0,-380,15872,256,599,-91
0,-364,15880,256,549,-76
0,-360,15652,511,574,-66
0,-344,15892,256,566,-92
0,-360,15688,511,559,-90
0,-360,15936,256,597,-74
0,-336,15904,256,526,-92
0,-416,15660,511,558,-79
0,-384,15692,511,574,-89
0,-364,15932,256,576,-90
0,-456,15900,256,549,-85
0,-596,15820,511,584,-79
0,-364,15636,511,580,-73
0,-360,15900,256,585,-88
0,-368,15692,511,565,-65
0,-332,15652,511,561,-82
0,-360,15632,511,585,-74
0,-380,15920,256,577,-67
0,-328,15880,256,604,-81
0,-376,15668,511,604,-75
0,-320,15616,511,579,-61
0,-584,15844,511,563,-109
0,-388,15660,511,610,-87
0,-296,15928,256,586,-82
0,-400,15672,511,554,-84
0,-608,15864,511,561,-92
0,-396,15684,256,576,-87
0,-424,15644,511,569,-62
0,-352,15936,256,585,-84
0,-396,15928,256,574,-85
0,-332,15656,511,567,-71
0,-372,15656,511,552,-80
0,-404,15664,511,549,-73
0,-352,15672,511,585,-87
0,-604,15808,511,576,-74
0,-400,15628,511,555,-73
0,-348,15660,511,562,-98
0,-444,15968,256,566,-93
0,-344,15636,511,556,-72
0,-316,15672,511,570,-78
0,-280,15664,511,578,-91
0,-432,15896,256,549,-48
0,-344,15620,511,581,-84
0,-388,15672,511,552,-98
0,-392,15932,256,595,-64
0,-352,15904,256,582,-75
0,-436,15752,511,585,-47
0,-372,15936,256,594,-76
0,-312,15908,256,571,-80
0,-364,15632,511,578,-107
0,-384,15756,511,610,-91
0,-664,15860,511,583,-72
0,-392,15688,511,576,-94
0,-376,15948,256,582,-92
0,-316,15628,511,564,-107
0,-388,15648,256,547,-62
0,-356,15684,511,598,-67
0,-364,15644,511,585,-69
0,-392,15940,256,560,-67
0,-376,15624,511,572,-66
0,-408,15652,511,568,-84
0,-384,15656,511,556,-80
0,-348,15896,256,571,-95
0,-364,15896,256,552,-68
0,-340,15632,511,596,-69
0,-356,15952,256,573,-65
0,-388,15872,256,574,-43
0,-636,15868,511,589,-86
0,-596,15840,511,594,-98
0,-644,15856,511,552,-68
0,-612,16112,256,572,-59
0,-384,15676,511,571,-96
0,-364,15632,511,568,-79
0,-372,15948,256,577,-61
0,-332,15964,256,586,-54
0,-380,15636,511,578,-59
0,-380,15916,256,540,-82
0,-384,15704,511,573,-78
0,-360,15648,511,583,-81
0,-368,15928,256,600,-85
0,-416,15616,511,560,-69
0,-388,15928,256,569,-95
0,-368,15676,511,575,-81
0,-416,15872,256,565,-72
0,-380,15912,256,552,-83
0,-400,15924,256,583,-112
0,-372,15684,511,569,-86
0,-392,15656,511,569,-95
0,-376,15916,256,594,-43
0,-444,15904,256,566,-88
0,-344,15712,511,552,-76
0,-432,15908,256,581,-69
0,-332,15952,256,556,-93
0,-360,15616,511,575,-85
0,-368,15908,256,590,-101
0,-384,15668,511,604,-102
0,-360,15908,256,557,-67
0,-420,15672,511,588,-85
0,-608,15856,511,594,-67
0,-392,15684,511,599,-115
0,-404,15872,256,601,-65
0,-364,15700,511,590,-72
0,-340,15672,511,562,-79
0,-636,15868,511,588,-114
0,-360,15896,256,574,-91
255,-548,15864,511,585,-86
0,-648,15868,511,573,-56
0,-300,15676,511,560,-73
0,-360,15920,256,567,-84
0,-336,15628,511,566,-64
0,-400,15648,511,561,-80
0,-608,15848,511,572,-61
0,-356,15696,511,565,-62
0,-344,15636,511,576,-79
0,-356,15968,256,572,-113
0,-340,15660,511,582,-67
0,-424,15628,511,588,-59
0,-372,15700,511,577,-88
0,-364,15904,256,594,-76
0,-340,15676,511,554,-73
0,-336,15640,511,582,-98
0,-608,16100,256,592,-58
0,-384,15644,511,567,-65
