Ax,Ay,Az
256,-418,15899
256,-416,15899
256,-416,15899
256,-416,15901
256,-418,15644
511,-419,15642
511,-416,15643
511,-416,15644
511,-414,15646
511,-413,15646
511,-413,15901
256,-411,15903
256,-414,15904
256,-418,15901
256,-414,15902
256,-413,15902
256,-412,15902
256,-414,15898
256,-416,15897
256,-419,15643
511,-421,15646
511,-421,15902
256,-424,15645
511,-424,15644
511,-425,15645
511,-430,15642
511,-428,15645
511,-427,15647
511,-432,15649
511,-432,15648
511,-434,15646
511,-435,15901
256,-433,15900
256,-431,15646
511,-429,15900
256,-426,15643
511,-430,15640
511,-431,15642
511,-428,15643
511,-428,15645
511,-429,15645
511,-431,15646
511,-432,15645
511,-431,15644
511,-430,15642
511,-431,15641
511,-432,15639
511,-432,15638
511,-430,15894
256,-432,15892
256,-432,15888
256,-429,15887
256,-427,15633
511,-428,15893
256,-425,15895
256,-424,15641
511,-422,15640
511,-425,15900
256,-424,15901
256,-426,15904
256,-428,15908
256,-428,15904
256,-427,15649
511,-424,15651
511,-424,15650
511,-428,15647
511,-428,15649
511,-427,15651
511,-430,15647
511,-434,15646
511,-435,15646
511,-436,15648
511,-437,15649
511,-436,15650
511,-436,15650
511,-435,15651
511,-435,15653
511,-434,15652
511,-435,15652
511,-435,15652
511,-433,15909
256,-434,15912
256,-435,15912
256,-435,15913
256,-434,15911
256,-434,15909
256,-435,15912
256,-434,15913
256,-436,15912
256,-436,15910
256,-436,15911
256,-437,15918
256,-439,15919
256,-442,15919
256,-437,15918
256,-433,15918
256,-431,15918
256,-430,15916
256,-430,15916
256,-431,15915
256,-427,15912
256,-428,15653
511,-430,15649
511,-430,15648
511,-428,15648
511,-427,15646
511,-426,15647
511,-425,15647
511,-429,15648
511,-427,15650
511,-429,15650
511,-429,15649
511,-431,15649
511,-434,15647
511,-435,15647
511,-433,15644
511,-430,15642
511,-430,15641
511,-430,15639
511,-428,15640
511,-429,15639
511,-428,15638
511,-427,15639
511,-425,15637
511,-426,15635
511,-426,15633
511,-428,15631
511,-429,15633
511,-433,15634
511,-432,15634
511,-435,15633
511,-435,15633
511,-436,15630
511,-437,15886
256,-438,15632
511,-438,15632
511,-434,15632
511,-435,15633
511,-438,15886
256,-438,15885
256,-437,15886
256,-436,15888
256,-435,15891
256,-434,15632
511,-435,15890
256,-434,15892
256,-434,15636
511,-434,15637
511,-434,15894
256,-433,15894
256,-430,15893
256,-429,15635
511,-431,15635
511,-429,15891
256,-427,15636
511,-426,15636
511,-423,15634
511,-424,15633
511,-426,15633
511,-427,15636
511,-426,15635
511,-425,15634
511,-426,15633
511,-429,15635
511,-427,15636
511,-423,15637
511,-425,15639
511,-426,15638
511,-427,15634
511,-425,15635
511,-427,15891
256,-427,15895
256,-430,15901
256,-430,15901
256,-430,15899
256,-426,15900
256,-426,15902
256,-423,15905
256,-421,15907
256,-420,15904
256,-419,15904
256,-421,15904
256,-422,15906
256,-421,15650
511,-422,15649
511,-427,15648
511,-428,15646
511,-429,15644
511,-430,15645
511,-431,15644
511,-432,15643
511,-431,15642
511,-429,15642
511,-428,15643
511,-429,15643
511,-430,15646
511,-429,15645
511,-432,15646
511,-431,15646
511,-429,15644
511,-428,15643
511,-433,15641
511,-430,15639
511,-430,15637
511,-429,15636
511,-427,15638
511,-428,15637
511,-426,15638
511,-427,15637
511,-429,15635
511,-432,15635
511,-431,15636
511,-428,15633
511,-427,15632
511,-427,15633
511,-430,15633
511,-427,15632
511,-430,15635
511,-428,15636
511,-427,15635
511,-428,15637
511,-426,15894
256,-425,15636
511,-425,15893
256,-427,15638
511,-430,15638
511,-430,15891
256,-430,15636
511,-426,15636
511,-424,15634
511,-423,15632
511,-423,15632
511,-424,15887
256,-426,15630
511,-425,15883
256,-422,15630
511,-423,15632
511,-423,15632
511,-424,15630
511,-425,15631
511,-426,15634
511,-422,15632
511,-422,15630
511,-420,15626
511,-424,15627
511,-423,15629
511,-427,15630
511,-430,15629
511,-430,15631
511,-430,15633
511,-429,15635
511,-428,15634
511,-426,15633
511,-425,15636
511,-425,15637
511,-427,15638
511,-428,15637
511,-428,15637
511,-426,15637
511,-424,15639
511,-425,15638
511,-427,15640
511,-428,15639
511,-424,15639
511,-427,15639
511,-428,15636
511,-427,15640
511,-426,15641
511,-426,15641
511,-427,15640
511,-429,15641
511,-427,15643
511,-425,15643
511,-424,15642
511,-424,15643
511,-424,15644
511,-428,15644
511,-431,15646
511,-425,15645
511,-423,15645
511,-421,15645
511,-420,15646
511,-420,15645
511,-420,15642
511,-422,15640
511,-424,15644
511,-423,15649
511,-424,15648
511,-424,15646
511,-424,15643
511,-421,15642
511,-414,15641
511,-414,15641
511,-412,15642
511,-414,15643
511,-415,15646
511,-418,15645
511,-416,15644
511,-415,15642
511,-417,15641
511,-417,15641
511,-419,15640
511,-418,15643
511,-419,15643
511,-418,15643
511,-417,15646
511,-414,15647
511,-414,15648
511,-417,15649
511,-416,15645
511,-419,15644
511,-420,15645
511,-421,15643
511,-419,15641
511,-419,15639
511,-420,15640
511,-420,15638
511,-422,15638
511,-420,15641
511,-424,15639
511,-425,15640
511,-426,15640
511,-426,15641
511,-429,15641
511,-430,15641
511,-427,15643
511,-423,15642
511,-426,15642
511,-421,15644
511,-416,15644
511,-418,15647
511,-419,15646
511,-421,15647
511,-421,15649
511,-420,15650
511,-423,15651
511,-424,15650
511,-426,15649
511,-427,15649
511,-426,15905
256,-425,15904
256,-423,15903
256,-420,15901
256,-420,15901
256,-419,15899
256,-421,15643
511,-426,15641
511,-428,15640
511,-430,15639
511,-428,15639
511,-430,15639
511,-430,15640
511,-431,15640
511,-428,15642
511,-428,15642
511,-430,15642
511,-428,15640
511,-425,15642
511,-427,15645
511,-430,15649
511,-430,15648
511,-430,15647
511,-427,15650
511,-430,15648
511,-430,15647
511,-429,15644
511,-427,15643
511,-429,15643
511,-429,15643
511,-432,15643
511,-430,15643
511,-429,15643
511,-429,15645
511,-431,15644
511,-434,15643
511,-435,15641
511,-432,15640
511,-431,15636
511,-429,15633
511,-427,15634
511,-430,15635
511,-430,15636
511,-430,15636
511,-430,15638
511,-433,15637
511,-433,15636
511,-430,15635
511,-427,15636
511,-425,15636
511,-427,15637
511,-428,15635
511,-430,15635
511,-431,15638
511,-433,15640
511,-431,15638
511,-429,15639
511,-427,15641
511,-428,15641
511,-426,15642
511,-423,15643
511,-423,15643
511,-425,15645
511,-428,15645
