Ax,Ay,Az
256,-404,15656
511,-460,15688
255,-264,15624
511,-404,15640
511,-420,15660
511,-720,15856
511,-440,15948
256,-468,15908
256,-712,15856
511,-436,15936
256,-664,15828
511,-452,15876
256,-476,15644
511,-680,15844
511,-468,15644
511,-456,15632
511,-448,15664
511,-472,15644
511,-728,15832
511,-756,15852
511,-668,15868
511,-428,15628
511,-468,15640
511,-716,15800
511,-476,15648
511,-444,15636
511,-368,15924
256,-476,15672
511,-428,15672
511,-416,15944
0,-260,15624
511,-472,15684
511,-484,15676
511,-420,15640
511,-412,15656
511,-732,15868
511,-672,15820
511,-504,15648
511,-424,15636
511,-456,15640
0,-268,15672
255,-292,15632
511,-676,15864
256,-384,15880
256,-428,15632
511,-448,15884
256,-484,15872
256,-724,16120
0,-260,15896
256,-432,15628
511,-480,15636
511,-760,15832
256,-448,15624
255,-292,15620
511,-724,15820
511,-488,15668
511,-468,15692
511,-452,15912
256,-672,15848
511,-464,15896
256,-712,15860
511,-480,15696
511,-400,15676
511,-432,15928
256,-512,15664
255,-544,16088
256,-688,16096
256,-436,15644
256,-456,15660
511,-364,15644
256,-748,15832
511,-440,15616
511,-464,15880
0,-516,15840
511,-756,16116
256,-460,15656
511,-408,15648
511,-484,15924
256,-760,15860
511,-372,15668
511,-456,15636
256,-424,15616
511,-644,15852
511,-464,15916
256,-464,15660
511,-484,15624
511,-456,15616
511,-436,15616
511,-420,15624
511,-460,15904
256,-468,15920
256,-416,15640
511,-448,15652
511,-400,15940
256,-388,15692
256,-388,15620
511,-484,15632
511,-468,15944
256,-436,15632
511,-732,15844
511,-388,15700
511,-408,16000
256,-388,15620
511,-420,15636
511,-432,15636
255,-304,15624
511,-716,15860
511,-476,15648
511,-484,15620
511,-736,15856
256,-472,15616
511,-712,15852
511,-452,15672
511,-448,15932
256,-420,15664
511,-768,15848
511,-480,15888
256,-680,15832
511,-456,15896
256,-452,15632
511,-440,15652
511,-380,15900
256,-704,15864
511,-396,15620
511,-704,15844
511,-688,15844
511,-408,15660
511,-444,15616
511,-732,15824
511,-468,15640
511,-500,15620
511,-480,15876
256,-696,15864
511,-448,15672
511,-460,15904
0,-540,15860
255,-260,15628
511,-440,15620
256,-680,15852
511,-452,15928
256,-456,15632
511,-460,15892
0,-268,15636
511,-456,15916
256,-692,15852
511,-468,15648
511,-460,15896
256,-512,15936
256,-404,15964
256,-444,15896
256,-712,15856
511,-764,15820
511,-444,15664
511,-436,15664
511,-408,15672
511,-428,15648
511,-448,15656
511,-480,15616
511,-724,16124
256,-672,16120
256,-464,15884
0,-260,15880
256,-412,15696
511,-472,15620
511,-484,15908
256,-468,15668
511,-712,15860
511,-676,15864
511,-444,15644
511,-468,15904
256,-768,16124
256,-712,15864
511,-648,15868
511,-420,15668
511,-744,15832
511,-456,15680
511,-688,15864
511,-468,15620
511,-460,15664
255,-516,15864
511,-396,15660
511,-444,15652
511,-424,15692
256,-404,15888
256,-476,15708
511,-720,15860
511,-472,15660
511,-436,15672
511,-424,15676
511,-424,15640
255,-272,15908
256,-448,15652
511,-428,15664
511,-404,15664
511,-428,15640
511,-440,15644
256,-460,15688
511,-468,15880
256,-672,15844
511,-720,15820
255,-268,15668
511,-452,15620
511,-452,15668
511,-428,15624
511,-468,15668
511,-500,15632
256,-448,15904
256,-428,15620
511,-424,15664
511,-484,15616
511,-356,15688
511,-428,15616
255,-524,15864
511,-424,15672
255,-292,15660
256,-628,15868
511,-464,15644
511,-412,15660
511,-428,15672
256,-732,15844
511,-704,15868
256,-484,15652
255,-516,15864
511,-640,15864
511,-724,15848
511,-444,15704
511,-476,15884
256,-732,15796
256,-496,15876
256,-472,15652
511,-432,15644
511,-468,15976
256,-704,15864
511,-448,15916
256,-380,15644
511,-416,15652
511,-484,15656
511,-696,15856
256,-680,15868
511,-436,15628
511,-448,15664
511,-736,16088
256,-484,15648
511,-700,15832
511,-696,16076
256,-420,15620
511,-472,15668
511,-456,15656
511,-472,15928
256,-748,15864
511,-744,15840
511,-484,15636
511,-756,15840
511,-740,15828
511,-652,15856
511,-504,15652
511,-692,15860
511,-488,15624
511,-688,15832
511,-440,15672
256,-460,15660
511,-452,15616
511,-600,15848
511,-692,15860
256,-436,15928
0,-264,15880
256,-712,15868
511,-500,15688
511,-472,15660
511,-456,15640
511,-448,15648
511,-432,15640
511,-484,15684
511,-732,16116
256,-468,15616
511,-708,16116
256,-436,15876
256,-476,15644
256,-404,15620
511,-476,15640
511,-396,15884
256,-704,16124
256,-720,15860
256,-428,15648
511,-744,15864
511,-500,15912
256,-740,15848
511,-756,15856
511,-608,16080
256,-416,15696
511,-408,15676
511,-664,16088
256,-688,15868
511,-452,15660
255,-260,15728
511,-500,15652
511,-464,15616
511,-432,15656
511,-368,15904
256,-668,15868
511,-732,15860
256,-460,15660
511,-388,15636
511,-428,15664
511,-436,15932
256,-460,15636
511,-424,15652
511,-452,15644
255,-520,16120
256,-432,15620
511,-416,15648
511,-764,15848
511,-720,15868
511,-476,15708
511,-500,15952
256,-428,15704
511,-460,15644
511,-452,15628
511,-432,15684
511,-456,15896
256,-476,15632
511,-720,15832
511,-748,15868
511,-680,16112
256,-480,15672
511,-508,15636
511,-456,15660
511,-696,15824
511,-496,15904
256,-404,15628
511,-724,16104
256,-480,15648
511,-456,15656
511,-460,15656
256,-436,15640
511,-460,15616
256,-496,15636
511,-460,15656
511,-420,15616
511,-428,15640
511,-680,15836
511,-712,16120
256,-468,15620
511,-696,16064
256,-724,15868
511,-716,15836
511,-472,15620
511,-464,15632
0,-260,15884
256,-764,16112
256,-712,15852
511,-480,15644
511,-460,15680
511,-476,15656
511,-484,15624
0,-260,15616
255,-284,15620
511,-472,15632
511,-468,15636
511,-496,15652
511,-408,15932
256,-716,15836
511,-484,15660
511,-420,15696
511,-684,15864
511,-404,15688
511,-420,15616
511,-512,15620
511,-424,15628
511,-704,15864
511,-492,15944
256,-416,15636
511,-356,15644
511,-480,15632
256,-448,15632
511,-724,16108
256,-684,16116
256,-696,15796
256,-448,15668
511,-692,15868
511,-644,15784
511,-684,15852
255,-264,15660
511,-460,15616
511,-436,15620
511,-708,15868
511,-436,15916
256,-720,15868
511,-496,15908
256,-744,15824
511,-460,15628
511,-428,15880
256,-748,15856
511,-420,15692
256,-476,15920
256,-444,15872
256,-420,15912
256,-468,15656
511,-484,15872
256,-372,15632
511,-752,16116
256,-472,15876
256,-512,15700
511,-460,15628
511,-436,15620
511,-684,15860
511,-448,15656
511,-436,15636
511,-448,15620
511,-484,15628
511,-388,15640
511,-680,16116
256,-428,15636
511,-448,15644
511,-700,16096
256,-472,15680
511,-680,16104
256,-752,16124
256,-420,15620
511,-652,16104
256,-716,15840
511,-436,15648
511,-696,15868
511,-440,15628
511,-708,15864
511,-452,15624
511,-492,15660
511,-444,15888
0,-264,15892
256,-476,15908
256,-432,15644
511,-448,15884
256,-432,15652
511,-436,15940
256,-484,15664
511,-436,15616
511,-740,15836
511,-412,15640
511,-492,15900
256,-740,16088
256,-504,15640
511,-428,15620
511,-476,15648
511,-692,15844
511,-664,15864
511,-472,15872
256,-444,15656
256,-448,15888
256,-468,15632
511,-464,15664
511,-412,15884
256,-380,15668
511,-416,15624
511,-492,15636
511,-432,15616
511,-452,15656
256,-444,15636
511,-416,15632
511,-468,15636
511,-408,15648
511,-700,15868
511,-700,15864
255,-260,15684
511,-484,15624
511,-436,15640
256,-444,15616
511,-728,15864
511,-428,15620
511,-732,15852
511,-708,15816
511,-468,15644
511,-428,15648
511,-472,15660
511,-708,15864
511,-644,15840
511,-448,15636
511,-488,15620
511,-416,15632
511,-460,15692
511,-448,15872
256,-476,15648
511,-484,15724
511,-740,15864
511,-460,15652
511,-472,15940
256,-424,15696
511,-392,15656
511,-444,15880
256,-444,15884
0,-572,16116
256,-432,15648
511,-504,15624
511,-492,15644
511,-416,15636
511,-728,15868
511,-440,15908
0,-288,15616
511,-496,15660
511,-504,15720
511,-448,15648
511,-448,15632
511,-452,15628
511,-764,15848
511,-500,15664
511,-456,15684
511,-488,15692
511,-492,15948
0,-524,16120
256,-408,15880
256,-380,15648
511,-384,15628
511,-456,15640
511,-692,15844
256,-728,15856
511,-432,15692
511,-448,15636
511,-744,15848
511,-416,15888
256,-428,15896
256,-464,15920
256,-396,15676
511,-436,15644
511,-460,15644
511,-464,15624
511,-432,15660
511,-728,15864
511,-416,15692
511,-660,15848
511,-460,15648
511,-480,15932
256,-476,15876
256,-416,15640
511,-444,15636
511,-452,15640
511,-448,15624
511,-712,16112
256,-416,15916
256,-464,15924
256,-696,15840
511,-468,15636
511,-748,15848
511,-452,15656
511,-756,15868
511,-504,15628
511,-452,15904
256,-456,15652
511,-700,15828
255,-524,15860
511,-472,15664
511,-708,16100
256,-692,15820
511,-504,15616
511,-500,15644
511,-460,15648
511,-428,15620
511,-724,15804
511,-412,15688
511,-728,15864
511,-692,15868
511,-492,15664
511,-464,15644
511,-400,15668
511,-440,15904
256,-396,15632
256,-448,15616
511,-496,15672
511,-432,15644
511,-436,15640
511,-464,15876
256,-720,15844
511,-432,15924
256,-752,15868
511,-476,15644
511,-408,15892
0,-516,15848
511,-436,15644
511,-428,15648
511,-720,15864
511,-712,16124
256,-456,15660
511,-440,15888
256,-440,15712
511,-448,15648
511,-656,15868
511,-688,15864
511,-440,15616
511,-500,15908
256,-660,15848
511,-712,16108
256,-456,15632
511,-488,15672
511,-476,15704
256,-376,15672
511,-492,15896
256,-472,15648
511,-416,15888
256,-696,16092
256,-452,15896
256,-684,16120
256,-500,15688
511,-480,15688
511,-744,15864
511,-416,15628
511,-404,15624
511,-432,15636
511,-464,15884
256,-404,15668
511,-460,15616
511,-440,15652
511,-472,15684
511,-456,15940
256,-748,16104
256,-496,15664
511,-492,15660
511,-712,16112
256,-496,15664
511,-468,15672
511,-440,15624
511,-452,15636
511,-404,15640
511,-476,15620
511,-704,15868
511,-432,15876
256,-448,15636
511,-736,15856
511,-384,15648
256,-448,15656
511,-476,15684
511,-736,15868
511,-392,15648
511,-432,15632
511,-460,15632
256,-460,15648
511,-708,15864
511,-452,15636
511,-456,15696
511,-388,15884
256,-452,15908
256,-488,15920
256,-488,15644
511,-744,15840
511,-724,15832
511,-424,15668
511,-460,15652
511,-420,15652
511,-696,15808
511,-460,15684
511,-696,15868
511,-456,15628
256,-448,15632
511,-712,16084
256,-444,15632
511,-432,15984
256,-444,15644
511,-448,15680
511,-444,15648
511,-692,15860
511,-760,15864
511,-492,15680
255,-540,15836
511,-476,15896
256,-416,15684
511,-500,15628
511,-436,15900
256,-424,15664
255,-280,15884
0,-524,16124
256,-384,15620
511,-720,15812
511,-496,15628
511,-472,15920
256,-368,15636
511,-384,15676
511,-692,15840
511,-464,15916
256,-448,15648
511,-680,15824
511,-432,15912
256,-464,15712
256,-472,15640
511,-448,15640
511,-708,15836
511,-444,15640
511,-480,15620
511,-740,16116
256,-724,15852
511,-380,15668
511,-404,15676
511,-436,15648
511,-740,16120
256,-424,15660
511,-472,15624
511,-452,15632
511,-456,15660
511,-472,15632
511,-420,15672
511,-456,15632
511,-732,15856
511,-396,15672
511,-364,15704
511,-488,15632
511,-456,15616
511,-508,15712
511,-408,15632
511,-480,15872
256,-488,15648
511,-744,15860
255,-260,15652
511,-476,15956
256,-472,15688
511,-440,15904
256,-748,16096
256,-444,15660
511,-460,15620
511,-688,16116
256,-488,15672
511,-684,16120
0,-300,15644
511,-428,15904
256,-676,15860
511,-460,15692
511,-480,15628
511,-428,15620
511,-428,15628
511,-400,15640
255,-312,15616
511,-468,15664
511,-444,15632
511,-480,15624
511,-404,15920
256,-452,15632
256,-416,15668
511,-392,15924
256,-668,16104
256,-432,15640
511,-420,15620
256,-724,15836
511,-476,15644
511,-728,16104
256,-436,15656
511,-720,15828
511,-396,15632
511,-480,15912
256,-452,15644
511,-440,15624
511,-668,15864
255,-532,16112
256,-608,15848
511,-444,15896
256,-400,15896
256,-488,15872
256,-440,15652
511,-488,15664
255,-276,15688
511,-468,15644
511,-444,15680
511,-460,15656
511,-668,15812
511,-708,16104
256,-740,15868
511,-460,15620
511,-428,15620
511,-716,15852
255,-260,15632
511,-428,15616
511,-468,15680
511,-736,15856
511,-508,15636
511,-744,16120
256,-416,15664
511,-412,15660
511,-512,15668
255,-272,15648
511,-464,15892
256,-484,15632
511,-668,15848
511,-420,15648
511,-416,15892
256,-468,15648
511,-408,15692
511,-460,15624
511,-712,15852
511,-408,15640
255,-268,15616
511,-440,15644
511,-404,15880
256,-460,15624
511,-408,15632
511,-480,15888
256,-732,16100
256,-736,15828
255,-264,15656
511,-412,15624
511,-480,15644
511,-732,15784
511,-444,15636
511,-460,15904
256,-492,15924
256,-464,15660
511,-420,15680
511,-476,15648
511,-456,15656
511,-428,15636
511,-440,15664
511,-380,15912
256,-732,15844
511,-716,15844
511,-484,15700
256,-752,15848
511,-716,15868
511,-392,15972
256,-400,15656
511,-404,15668
511,-728,15848
511,-444,15640
511,-732,16080
256,-504,15624
511,-740,15856
511,-432,15620
511,-720,16092
256,-676,15864
511,-696,15824
511,-456,15880
256,-456,15632
511,-484,15652
511,-396,15664
511,-716,15856
511,-440,15888
256,-440,15688
511,-728,15856
511,-476,15632
511,-476,15720
511,-424,15680
511,-712,15840
511,-476,15924
256,-456,15968
256,-468,15640
511,-716,16104
256,-696,16076
256,-484,15684
511,-432,15648
511,-736,15856
511,-448,15620
511,-512,15676
511,-440,15616
511,-448,15648
511,-700,16112
256,-680,15844
511,-448,15648
511,-436,15680
511,-412,15632
511,-452,15664
511,-648,15856
511,-460,15872
256,-480,15640
511,-452,15684
511,-452,15624
511,-496,15632
511,-460,15672
511,-472,15616
255,-280,15928
256,-476,15628
511,-476,15652
511,-356,15616
511,-468,15916
256,-468,15928
256,-732,15864
511,-488,15636
511,-720,15848
511,-388,15920
256,-416,15640
511,-708,15868
255,-280,15932
256,-488,15912
256,-476,15700
511,-704,15780
511,-476,15884
256,-504,15644
511,-420,15652
255,-268,15688
511,-412,15664
511,-668,15864
511,-420,15908
256,-428,15640
511,-512,15680
511,-484,15644
511,-504,15664
255,-268,15644
511,-460,15684
511,-664,15856
511,-656,16088
256,-420,15688
255,-532,16096
0,-264,15656
511,-432,15676
511,-640,15860
511,-464,15656
511,-708,15848
511,-460,15620
511,-496,15940
256,-408,15904
256,-468,15916
256,-464,15876
256,-700,15848
511,-432,15944
256,-468,15636
511,-444,15904
256,-444,15656
511,-704,15856
511,-700,16112
256,-468,15656
511,-708,15864
511,-436,15672
511,-428,15872
256,-656,16112
256,-688,15852
511,-484,15924
256,-436,15920
256,-720,15848
511,-736,15836
511,-424,15908
256,-464,15904
256,-448,15876
256,-504,15680
256,-428,15644
511,-456,15696
511,-440,15680
511,-416,15640
511,-496,15688
511,-712,15860
511,-372,15912
256,-712,15860
511,-392,15644
511,-420,15648
511,-440,15648
511,-480,15916
256,-320,15636
255,-520,15836
511,-404,15640
511,-472,15652
511,-464,15892
256,-468,15656
511,-416,15680
511,-688,15848
511,-420,15636
511,-688,16120
256,-508,15656
511,-484,15920
