Ax,Ay,Az
256,-699,15864
511,-700,15866
511,-699,15865
511,-698,15864
511,-697,15866
511,-697,15865
511,-700,15863
511,-704,15862
511,-703,15861
511,-700,15862
511,-699,15861
511,-702,15860
511,-705,15860
511,-705,15860
511,-705,15862
511,-705,15864
511,-709,15864
511,-711,15863
511,-709,15864
511,-710,15861
511,-706,15860
511,-705,15861
511,-706,15858
511,-707,15857
511,-708,15856
511,-709,15853
511,-710,15852
511,-711,15853
511,-712,15856
511,-710,15856
511,-707,15856
511,-711,15854
511,-713,15856
511,-711,15855
511,-712,15855
511,-711,15858
511,-712,15858
511,-711,15860
511,-712,15862
511,-710,15860
511,-707,15860
511,-701,15860
511,-702,15862
511,-701,15863
511,-702,16120
256,-698,15865
511,-698,15864
511,-698,15864
511,-698,15864
511,-701,15867
511,-698,15870
511,-699,15870
511,-704,15870
511,-702,15868
511,-702,15867
511,-699,15864
511,-699,15863
511,-701,15864
511,-703,15864
511,-705,16120
256,-704,16119
256,-702,15862
511,-702,15861
511,-705,15859
511,-706,15859
511,-705,15855
511,-707,15854
511,-711,15857
511,-712,15859
511,-712,15859
511,-710,15861
511,-708,15863
511,-707,15866
511,-708,15865
511,-710,15867
511,-709,15865
511,-706,15867
511,-702,15867
511,-703,15867
511,-702,15866
511,-704,15865
511,-702,15864
511,-701,15864
511,-700,15865
511,-699,15867
511,-699,15868
511,-702,15865
511,-701,15867
511,-702,15868
511,-697,15866
511,-697,15864
511,-695,15862
511,-695,15865
511,-694,15867
511,-692,15866
511,-693,15864
511,-694,15862
511,-693,15862
511,-693,15862
511,-689,15863
511,-687,15862
511,-687,15859
511,-689,15856
511,-689,15857
511,-692,15859
511,-693,15856
511,-688,15855
511,-688,15856
511,-689,15858
511,-687,15859
511,-684,15859
511,-685,15857
511,-688,15858
511,-691,15858
511,-691,15857
511,-692,15859
511,-690,15860
511,-693,15861
511,-693,15861
511,-694,15862
511,-694,15862
511,-695,15861
511,-697,15863
511,-698,15862
511,-700,15860
511,-701,15863
511,-702,15865
511,-702,15865
511,-701,15864
511,-698,15866
511,-700,15866
511,-702,15864
511,-701,15862
511,-698,15860
511,-700,15858
511,-698,15855
511,-697,15854
511,-700,15854
511,-701,15856
511,-700,15856
511,-699,15857
511,-701,15856
511,-702,15858
511,-701,15859
511,-702,15860
511,-703,15861
511,-703,15862
511,-703,15862
511,-703,15861
511,-702,15859
511,-703,15858
511,-701,15858
511,-703,15855
511,-703,15853
511,-702,15851
511,-703,15849
511,-704,15848
511,-703,15850
511,-703,15852
511,-702,15851
511,-701,15855
511,-698,15856
511,-698,15854
511,-699,15855
511,-702,15856
511,-702,15855
511,-703,15856
511,-702,15855
511,-700,15856
511,-697,15857
511,-697,15859
511,-698,15858
511,-701,15858
511,-705,15855
511,-708,15852
511,-710,15847
511,-710,15845
511,-710,15848
511,-711,15848
511,-712,15845
511,-714,15842
511,-712,15843
511,-712,15845
511,-712,15844
511,-709,15846
511,-707,15845
511,-710,15844
511,-707,15844
511,-707,15845
511,-705,15844
511,-706,15842
511,-709,15843
511,-707,15842
511,-707,15845
511,-705,15848
511,-703,15849
511,-701,15854
511,-697,15854
511,-696,15854
511,-697,15857
511,-699,15855
511,-700,15854
511,-699,15850
511,-698,15851
511,-696,15852
511,-698,15850
511,-700,15848
511,-697,15849
511,-700,15846
511,-703,15845
511,-701,15846
511,-703,15848
511,-700,15850
511,-698,15853
511,-696,15850
511,-693,15851
511,-693,15853
511,-692,15856
511,-694,15858
511,-693,15858
511,-694,15859
511,-697,15857
511,-694,15856
511,-693,15855
511,-696,15856
511,-696,15858
511,-695,15858
511,-695,15857
511,-695,15856
511,-695,15855
511,-693,15856
511,-691,15857
511,-690,15858
511,-688,15859
511,-686,15858
511,-689,15857
511,-687,15858
511,-687,15855
511,-687,15854
511,-689,15858
511,-691,15857
511,-693,15859
511,-695,15858
511,-695,15855
511,-693,15858
511,-693,15858
511,-693,15861
511,-693,15864
511,-694,15866
511,-697,15864
511,-698,15865
511,-701,15866
511,-703,15866
511,-705,15866
511,-705,15865
511,-701,15864
511,-701,15865
511,-698,15863
511,-698,15866
511,-701,15871
511,-698,15871
511,-444,15616
511,-445,15616
511,-448,15616
511,-444,15616
511,-443,15616
511,-701,15869
511,-701,15866
511,-700,15866
511,-703,15867
511,-706,15865
511,-708,15864
511,-707,15862
511,-706,15860
511,-705,15863
511,-704,15864
511,-703,15864
511,-700,15860
511,-700,15860
511,-700,15859
511,-703,15856
511,-704,15855
511,-704,15854
511,-706,15853
511,-707,15855
511,-708,15856
511,-708,15855
511,-712,15855
511,-713,15853
511,-714,15851
511,-712,15856
511,-711,15855
511,-711,15856
511,-711,15856
511,-710,15855
511,-709,15855
511,-710,15857
511,-707,15854
511,-706,15856
511,-707,15858
511,-706,15860
511,-708,15862
511,-707,15863
511,-706,15861
511,-706,15862
511,-705,15861
511,-703,15862
511,-704,15861
511,-703,15860
511,-701,15861
511,-700,15858
511,-700,15858
511,-697,15858
511,-698,15858
511,-696,15859
511,-698,15860
511,-701,15860
511,-704,15860
511,-706,15859
511,-707,15856
511,-707,15853
511,-705,15855
511,-706,15855
511,-705,15857
511,-707,15856
511,-706,15857
511,-709,15861
511,-710,15860
511,-708,15857
511,-708,15857
511,-709,15860
511,-709,15860
511,-704,15863
511,-702,15864
511,-703,15863
511,-704,15864
511,-704,15865
511,-702,15868
511,-703,15868
511,-702,15866
511,-700,15866
511,-701,15864
511,-698,15861
511,-697,15860
511,-696,15863
511,-696,15864
511,-696,15860
511,-696,15860
511,-693,15861
511,-690,15862
511,-693,15860
511,-696,15859
511,-699,15858
511,-701,15855
511,-703,15856
511,-701,15853
511,-701,15854
511,-701,15858
511,-700,15858
511,-702,15862
511,-701,15860
511,-704,15860
511,-707,15857
511,-707,15857
511,-707,15856
511,-710,15853
511,-710,15854
511,-714,15855
511,-714,15854
511,-711,15853
511,-711,15853
511,-712,15851
511,-723,15852
511,-728,15842
511,-728,15837
511,-731,15838
511,-725,15846
511,-715,16109
256,-710,15855
511,-717,16111
256,-709,15852
511,-704,15850
511,-706,15850
511,-697,15853
511,-695,15855
511,-694,15857
511,-694,15857
511,-694,16114
256,-699,15858
511,-696,15856
511,-697,15855
511,-701,15857
511,-701,15858
511,-702,15858
511,-700,15858
511,-697,15861
511,-696,15863
511,-697,15865
511,-697,15865
511,-697,15866
511,-694,15865
511,-697,15866
511,-698,15863
511,-701,15865
511,-703,15865
